,Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight,K-means Position,
502,Jason Richardson,0.03,0.12,0.08,0.11,0.02,0.01,0.08,0.44,0.39,0.48,0.52,0.72,198,99,5,
503,Jason Smith,0.08,0.17,0.12,0.07,0.01,0.03,0.12,0.47,0.23,0.48,0.48,0.76,211,113,2,
504,Jason Terry,0.01,0.07,0.04,0.16,0.02,0.01,0.11,0.43,0.38,0.48,0.53,0.83,188,83,1,
505,Jason Thompson,0.09,0.21,0.15,0.07,0.01,0.02,0.12,0.49,0.1,0.5,0.5,0.67,185,83,4,
506,Jason Williams,0.01,0.09,0.05,0.26,0.02,0,0.19,0.36,0.3,0.43,0.44,0.81,206,108,6,
507,JaVale McGee,0.11,0.2,0.15,0.03,0.01,0.06,0.13,0.54,0.2,0.54,0.54,0.59,213,122,3,
508,Javaris Crittenton,0.06,0.11,0.08,0.16,0.02,0,0.18,0.45,0.19,0.47,0.46,0.62,196,90,4,
509,Jawad Williams,0.04,0.09,0.07,0.05,0.02,0,0.09,0.38,0.32,0.43,0.45,0.73,206,108,5,
510,Jaylen Brown,0.04,0.14,0.09,0.07,0.01,0.01,0.13,0.45,0.34,0.51,0.51,0.69,193,97,5,
511,Jeff Adrien,0.12,0.25,0.18,0.07,0.01,0.03,0.12,0.47,0,0.47,0.47,0.6,201,111,3,
512,Jeff Ayres,0.09,0.21,0.15,0.06,0.01,0.02,0.16,0.54,0.25,0.54,0.54,0.8,188,83,4,
514,Jeff Foster,0.15,0.21,0.18,0.09,0.02,0.01,0.18,0.5,0.26,0.5,0.51,0.61,211,107,3,
515,Jeff Green,0.03,0.13,0.08,0.08,0.01,0.01,0.1,0.44,0.32,0.48,0.48,0.79,196,88,5,
516,Jeff McInnis,0.01,0.07,0.04,0.23,0.01,0,0.23,0.43,0.16,0.46,0.44,0.77,193,86,1,
517,Jeff Teague,0.01,0.09,0.05,0.32,0.02,0.01,0.16,0.44,0.34,0.47,0.48,0.84,188,84,1,
518,Jeff Withey,0.11,0.18,0.15,0.05,0.01,0.06,0.12,0.53,0,0.53,0.53,0.72,213,104,3,
519,Jeffery Taylor,0.03,0.09,0.06,0.07,0.01,0.01,0.11,0.4,0.31,0.45,0.45,0.64,193,79,5,
521,Jerami Grant,0.03,0.14,0.08,0.06,0.01,0.05,0.12,0.41,0.26,0.46,0.46,0.6,203,95,2,
522,Jerel McNeal,0,0.09,0.05,0.08,0.04,0.02,0.3,0.27,0.5,0.22,0.32,1,190,90,6,
523,Jeremy Evans,0.1,0.18,0.14,0.07,0.02,0.04,0.1,0.59,0.11,0.62,0.6,0.68,206,90,3,
524,Jeremy Lamb,0.03,0.16,0.09,0.1,0.01,0.01,0.08,0.42,0.32,0.48,0.48,0.85,196,83,5,
525,Jeremy Lin,0.02,0.1,0.06,0.28,0.03,0.01,0.18,0.43,0.33,0.46,0.47,0.8,190,90,1,
526,Jeremy Pargo,0.02,0.08,0.05,0.22,0.01,0,0.17,0.38,0.33,0.4,0.42,0.66,188,99,1,
527,Jeremy Richardson,0.01,0.08,0.05,0.04,0.01,0,0.09,0.3,0.31,0.31,0.37,0.83,198,83,0,
528,Jeremy Tyler,0.09,0.29,0.19,0.03,0.01,0.02,0.17,0.42,0,0.42,0.42,0.61,208,117,3,
529,Jerian Grant,0.02,0.1,0.06,0.2,0.02,0.01,0.14,0.41,0.29,0.46,0.46,0.84,203,95,5,
530,Jermaine O'Neal,0.08,0.19,0.14,0.08,0.01,0.05,0.15,0.47,0,0.48,0.47,0.75,211,102,3,
531,Jermaine Taylor,0.06,0.1,0.08,0.09,0.02,0.01,0.16,0.46,0.31,0.5,0.49,0.76,193,79,4,
533,Jerome Dyson,0.01,0.11,0.06,0.16,0.03,0.01,0.24,0.4,0.13,0.45,0.41,0.78,190,81,6,
538,Jerry Stackhouse,0.03,0.09,0.06,0.11,0.01,0.01,0.13,0.35,0.29,0.38,0.41,0.86,198,98,0,
539,Jerryd Bayless,0.02,0.1,0.06,0.23,0.01,0,0.16,0.4,0.34,0.42,0.45,0.82,190,90,1,
540,Jimmer Fredette,0.01,0.06,0.03,0.14,0.02,0,0.17,0.47,0.42,0.42,0.59,0.88,188,88,1,
541,Jimmy Butler,0.05,0.11,0.08,0.14,0.02,0.01,0.1,0.44,0.32,0.47,0.47,0.81,201,99,5,
542,Joakim Noah,0.14,0.23,0.19,0.16,0.01,0.03,0.18,0.49,0,0.49,0.49,0.66,211,104,3,
543,Jodie Meeks,0.01,0.11,0.06,0.08,0.02,0,0.08,0.4,0.37,0.44,0.5,0.87,193,95,5,
544,Joe Alexander,0.07,0.12,0.1,0.09,0.01,0.03,0.08,0.29,0.17,0.32,0.31,0.68,203,104,0,
545,Joe Crawford,0.05,0.15,0.1,0.07,0.02,0,0,0.3,0.25,0.33,0.35,1,196,95,0,
546,Joe Harris,0.01,0.14,0.08,0.11,0.01,0,0.17,0.36,0.33,0.48,0.48,0.66,198,99,5,
547,Joe Ingles,0.02,0.12,0.07,0.15,0.02,0,0.19,0.43,0.39,0.5,0.56,0.74,203,102,5,
548,Joe Johnson,0.02,0.1,0.06,0.19,0.01,0,0.11,0.44,0.38,0.48,0.51,0.82,201,90,5,
549,Joe Smith,0.09,0.2,0.14,0.07,0.01,0.03,0.13,0.39,0.2,0.39,0.39,0.8,213,106,2,
550,Joe Young,0.01,0.13,0.07,0.22,0.02,0,0.11,0.36,0.22,0.43,0.4,0.77,188,81,1,
552,Joel Bolomboy,0.09,0.28,0.19,0.06,0.01,0.03,0.1,0.56,0.25,0.67,0.59,0.5,206,106,3,
553,Joel Embiid,0.09,0.26,0.17,0.16,0.02,0.08,0.18,0.47,0.37,0.5,0.51,0.78,213,113,3,
554,Joel Freeland,0.11,0.2,0.16,0.05,0.01,0.02,0.13,0.46,0,0.46,0.46,0.73,208,113,3,
555,Joel Przybilla,0.1,0.28,0.19,0.03,0.01,0.03,0.31,0.5,0,0.5,0.5,0.49,216,115,3,
556,Joey Dorsey,0.14,0.26,0.2,0.08,0.02,0.01,0.17,0.49,0,0.49,0.49,0.42,203,121,3,
557,Joey Graham,0.05,0.15,0.1,0.05,0.01,0.01,0.14,0.47,0.33,0.49,0.48,0.8,201,102,5,
558,Joffrey Lauvergne,0.09,0.21,0.15,0.1,0.01,0.01,0.14,0.44,0.28,0.49,0.48,0.68,211,99,2,
559,Johan Petro,0.09,0.23,0.16,0.06,0.02,0.02,0.14,0.44,0.16,0.44,0.44,0.67,213,112,2,
560,John Henson,0.11,0.2,0.16,0.08,0.01,0.07,0.14,0.53,0,0.53,0.53,0.58,211,103,3,
561,John Jenkins,0.02,0.11,0.06,0.1,0.01,0,0.11,0.44,0.34,0.49,0.51,0.89,193,97,5,
562,John Lucas,0.01,0.04,0.03,0.2,0.02,0,0.07,0.35,0.23,0.4,0.4,0.64,190,79,1,
563,John Salmons,0.02,0.1,0.06,0.13,0.02,0.01,0.11,0.42,0.37,0.44,0.48,0.79,201,95,5,
564,John Wall,0.02,0.12,0.07,0.42,0.02,0.01,0.17,0.43,0.28,0.45,0.46,0.79,193,88,1,
565,Johnny O'Bryant,0.11,0.13,0.12,0.11,0,0.01,0.15,0.46,0.63,0.46,0.49,0.69,206,116,2,
566,Jon Brockman,0.15,0.2,0.17,0.05,0.01,0,0.16,0.46,0,0.46,0.46,0.58,201,115,3,
567,Jon Leuer,0.07,0.19,0.13,0.08,0.01,0.01,0.11,0.48,0.25,0.51,0.5,0.64,208,103,2,
568,Jonas Jerebko,0.08,0.18,0.13,0.08,0.02,0.01,0.12,0.45,0.36,0.49,0.51,0.78,208,104,2,
569,Jonas Valanciunas,0.12,0.25,0.19,0.04,0.01,0.03,0.14,0.56,0.17,0.56,0.56,0.78,213,120,3,
570,Jonathan Bender,0.06,0.15,0.1,0.08,0,0.04,0.2,0.4,0.36,0.43,0.47,0.92,211,91,2,
571,Jonathan Gibson,0.01,0.11,0.06,0.19,0.02,0,0.16,0.37,0.33,0.4,0.45,0.72,188,83,1,
572,Jonathon Simmons,0.02,0.11,0.07,0.12,0.02,0.01,0.15,0.46,0.34,0.5,0.5,0.75,185,83,1,
573,Jonny Flynn,0.02,0.08,0.05,0.31,0.01,0,0.2,0.36,0.3,0.38,0.4,0.77,183,83,1,
574,Jordan Adams,0.02,0.12,0.07,0.21,0.07,0.01,0.16,0.37,0.2,0.41,0.4,0.6,196,94,6,
575,Jordan Clarkson,0.03,0.1,0.06,0.17,0.02,0,0.12,0.44,0.33,0.48,0.49,0.81,196,87,1,
576,Jordan Crawford,0.03,0.1,0.06,0.22,0.01,0,0.14,0.41,0.31,0.46,0.46,0.82,196,95,1,
577,Jordan Farmar,0.02,0.09,0.05,0.25,0.02,0,0.16,0.41,0.39,0.41,0.51,0.79,188,81,1,
578,Jordan Hamilton,0.04,0.17,0.11,0.1,0.02,0.01,0.11,0.41,0.37,0.43,0.5,0.66,178,72,1,
579,Jordan Hill,0.14,0.21,0.18,0.05,0.01,0.03,0.14,0.49,0.03,0.49,0.49,0.7,208,106,3,
580,Jordan McRae,0.02,0.09,0.06,0.17,0.01,0.01,0.13,0.42,0.43,0.44,0.48,0.76,198,83,5,
581,Jordan Mickey,0.11,0.15,0.13,0.05,0.01,0.09,0.11,0.4,0,0.41,0.4,0.54,203,106,3,
584,Jorge Gutierrez,0.02,0.13,0.07,0.25,0.02,0,0.21,0.52,0.05,0.58,0.53,0.74,190,86,1,
585,Jose Calderon,0.02,0.1,0.06,0.33,0.01,0,0.17,0.46,0.4,0.5,0.54,0.89,190,90,1,
588,Josh Childress,0.06,0.12,0.09,0.09,0.02,0.01,0.27,0.48,0.23,0.52,0.49,0.45,203,95,4,
589,Josh Davis,0.14,0.1,0.12,0.07,0.03,0.01,0.09,0.37,0.31,0.43,0.44,0.5,188,77,4,
590,Josh Harrellson,0.11,0.18,0.14,0.03,0.02,0.03,0.15,0.44,0.31,0.58,0.51,0.61,208,124,2,
591,Josh Howard,0.04,0.14,0.09,0.08,0.02,0.01,0.09,0.41,0.28,0.44,0.44,0.74,201,95,5,
592,Josh Huestis,0.09,0.16,0.13,0.08,0,0.05,0.09,0.48,0.58,0.37,0.61,0,201,104,2,
593,Josh McRoberts,0.07,0.18,0.13,0.15,0.01,0.02,0.16,0.47,0.29,0.51,0.51,0.69,208,108,2,
594,Josh Powell,0.08,0.19,0.14,0.05,0.01,0.02,0.16,0.41,0.15,0.41,0.41,0.73,206,102,2,
595,Josh Richardson,0.02,0.09,0.06,0.11,0.02,0.02,0.11,0.42,0.4,0.45,0.51,0.72,198,90,5,
596,Josh Selby,0.01,0.08,0.04,0.15,0.02,0,0.24,0.31,0.15,0.36,0.33,0.71,188,83,6,
597,Josh Smith,0.07,0.19,0.13,0.18,0.02,0.04,0.15,0.43,0.27,0.46,0.46,0.57,213,106,2,
598,Jrue Holiday,0.03,0.1,0.06,0.32,0.02,0.01,0.16,0.44,0.37,0.47,0.49,0.79,193,92,1,
599,Juan Carlos,0.02,0.09,0.06,0.13,0.01,0,0.14,0.4,0.36,0.46,0.5,0.85,203,92,5,
600,Juan Dixon,0.02,0.1,0.06,0.23,0.02,0,0.18,0.41,0.4,0.42,0.47,0.76,190,74,1,
601,Juan Hernangomez,0.06,0.19,0.12,0.05,0.02,0.01,0.11,0.45,0.41,0.5,0.55,0.75,206,104,2,
602,Julian Wright,0.07,0.14,0.1,0.09,0.02,0.02,0.16,0.5,0.26,0.52,0.51,0.58,203,102,4,
603,Julius Randle,0.05,0.19,0.12,0.1,0.01,0.01,0.17,0.42,0.27,0.43,0.42,0.48,206,113,2,
604,Julyan Stone,0.05,0.11,0.08,0.17,0.02,0.01,0.27,0.61,0.22,0.7,0.64,0.71,198,90,4,
605,Justin Anderson,0.05,0.17,0.11,0.08,0.02,0.02,0.12,0.42,0.29,0.53,0.49,0.79,198,103,4,
606,Justin Dentmon,0,0.07,0.03,0.12,0.01,0,0.13,0.26,0.11,0.52,0.28,0.67,180,83,0,
607,Justin Hamilton,0.07,0.09,0.08,0.04,0.04,0.02,0.24,0.46,0.32,0.53,0.51,0.88,213,117,4,
608,Justin Harper,0.04,0.09,0.06,0.05,0.01,0.01,0.19,0.37,0.29,0.33,0.47,0.25,208,102,0,
609,Justin Holiday,0.01,0.11,0.06,0.11,0.02,0.02,0.13,0.38,0.32,0.44,0.45,0.74,198,83,5,
611,Justise Winslow,0.04,0.14,0.09,0.11,0.02,0.01,0.14,0.39,0.24,0.43,0.41,0.65,201,102,0,
612,Jusuf Nurkic,0.12,0.25,0.19,0.12,0.02,0.05,0.18,0.48,0,0.48,0.48,0.6,213,127,3,
613,Juwan Howard,0.07,0.16,0.12,0.1,0.01,0.01,0.15,0.46,0,0.46,0.46,0.79,206,108,2,
614,K.J. McDaniels,0.04,0.13,0.09,0.07,0.01,0.03,0.14,0.41,0.25,0.49,0.46,0.77,198,90,5,
617,Kareem Rush,0.01,0.1,0.06,0.1,0.02,0.02,0.15,0.37,0.34,0.4,0.44,0.86,198,97,5,
618,Karl-Anthony Towns,0.11,0.28,0.19,0.12,0.01,0.04,0.12,0.54,0.35,0.57,0.57,0.82,213,110,3,
619,Kasib Powell,0.03,0.14,0.09,0.1,0.02,0.01,0.05,0.37,0.24,0.44,0.41,0.67,201,97,0,
620,Kawhi Leonard,0.05,0.18,0.12,0.12,0.03,0.02,0.09,0.5,0.38,0.54,0.55,0.83,201,104,4,
621,Kay Felder,0.01,0.11,0.06,0.23,0.02,0.02,0.15,0.39,0.32,0.4,0.42,0.71,175,79,1,
622,Keith Appling,0,0.04,0.02,0.05,0.02,0,0.25,0.25,0,0.4,0.25,1,185,83,6,
624,Keith Bogans,0.02,0.12,0.07,0.08,0.01,0,0.11,0.4,0.36,0.49,0.53,0.77,196,97,5,
626,Kelenna Azubuike,0.04,0.1,0.07,0.05,0.02,0.01,0.14,0.46,0.38,0.49,0.52,0.73,196,99,5,
627,Kelly Olynyk,0.07,0.18,0.13,0.13,0.02,0.02,0.14,0.48,0.36,0.53,0.54,0.74,213,107,2,
628,Kelly Oubre,0.04,0.16,0.1,0.03,0.02,0.01,0.11,0.42,0.3,0.51,0.48,0.7,201,92,4,
629,Kemba Walker,0.02,0.11,0.06,0.29,0.02,0.01,0.11,0.41,0.34,0.44,0.46,0.82,203,95,1,
630,Kendall Marshall,0.01,0.08,0.04,0.33,0.02,0,0.26,0.4,0.36,0.43,0.48,0.67,193,90,6,
631,Kendrick Perkins,0.09,0.22,0.16,0.06,0.01,0.03,0.26,0.51,0,0.51,0.51,0.56,208,122,3,
632,Kenneth Faried,0.14,0.23,0.19,0.07,0.02,0.03,0.12,0.55,0.16,0.55,0.55,0.65,203,103,3,
634,Kent Bazemore,0.02,0.13,0.07,0.13,0.02,0.02,0.16,0.41,0.33,0.46,0.48,0.65,196,91,5,
635,Kentavious Caldwell-Pope,0.02,0.09,0.05,0.08,0.02,0.01,0.08,0.4,0.33,0.46,0.48,0.78,196,92,5,
636,Kenyon Martin,0.07,0.18,0.12,0.08,0.02,0.03,0.12,0.5,0.21,0.5,0.5,0.59,206,106,2,
637,Kevin Durant,0.02,0.19,0.11,0.19,0.02,0.02,0.12,0.49,0.38,0.53,0.54,0.88,206,108,2,
638,Kevin Garnett,0.05,0.28,0.17,0.15,0.02,0.02,0.11,0.5,0.13,0.51,0.5,0.78,211,108,2,
640,Kevin Love,0.11,0.3,0.2,0.12,0.01,0.01,0.11,0.44,0.32,0.47,0.49,0.81,208,113,2,
641,Kevin Martin,0.02,0.1,0.06,0.11,0.01,0,0.1,0.41,0.37,0.44,0.48,0.88,206,106,5,
643,Kevin Ollie,0.02,0.08,0.05,0.17,0.02,0,0.11,0.41,0,0.41,0.41,0.88,193,88,1,
644,Kevin Seraphin,0.09,0.17,0.13,0.07,0.01,0.04,0.16,0.49,0,0.49,0.49,0.73,206,129,3,
645,Kevon Looney,0.17,0.24,0.2,0.04,0.01,0.02,0.12,0.55,0.36,0.58,0.59,0.62,206,99,3,
646,Keyon Dooling,0.01,0.06,0.03,0.19,0.01,0,0.14,0.43,0.37,0.47,0.51,0.81,190,88,1,
647,Khris Middleton,0.02,0.12,0.07,0.14,0.02,0.01,0.11,0.45,0.39,0.47,0.51,0.87,203,106,5,
648,Kim English,0.02,0.08,0.05,0.1,0.02,0.01,0.13,0.38,0.28,0.45,0.44,0.72,198,90,5,
649,Kirk Hinrich,0.01,0.1,0.05,0.21,0.02,0.01,0.16,0.39,0.36,0.41,0.47,0.8,193,86,1,
650,Kirk Snyder,0.05,0.13,0.09,0.14,0.01,0.01,0.16,0.5,0.22,0.56,0.52,0.68,198,102,4,
651,Klay Thompson,0.02,0.09,0.06,0.11,0.01,0.01,0.1,0.45,0.42,0.48,0.54,0.85,201,97,5,
652,Kobe Bryant,0.03,0.13,0.08,0.26,0.02,0.01,0.13,0.43,0.31,0.47,0.47,0.84,198,96,1,
653,Kosta Koufos,0.13,0.21,0.17,0.04,0.01,0.04,0.13,0.51,0,0.51,0.51,0.6,213,120,3,
655,Kostas Papanikolaou,0.04,0.12,0.08,0.12,0.02,0.01,0.22,0.36,0.3,0.42,0.43,0.68,203,102,0,
656,Kris Dunn,0.02,0.13,0.07,0.19,0.03,0.02,0.21,0.38,0.29,0.4,0.41,0.61,193,95,6,
657,Kris Humphries,0.11,0.24,0.17,0.06,0.01,0.02,0.11,0.44,0.13,0.46,0.46,0.74,206,106,2,
658,Kris Joseph,0.02,0.13,0.08,0.03,0.03,0,0.08,0.11,0,0.13,0.11,0.63,201,95,7,
659,Kristaps Porzingis,0.06,0.19,0.13,0.08,0.01,0.05,0.1,0.44,0.35,0.47,0.49,0.81,221,108,2,
660,Kurt Thomas,0.08,0.23,0.16,0.07,0.02,0.03,0.13,0.49,0.4,0.49,0.49,0.67,206,104,2,
661,Kwame Brown,0.09,0.22,0.16,0.06,0.01,0.02,0.19,0.51,0,0.51,0.51,0.43,211,122,3,
662,Kyle Anderson,0.03,0.2,0.11,0.12,0.02,0.02,0.13,0.42,0.32,0.44,0.44,0.73,206,104,2,
663,Kyle Korver,0.01,0.11,0.06,0.11,0.01,0.01,0.12,0.45,0.43,0.48,0.58,0.88,201,96,5,
664,Kyle Lowry,0.03,0.12,0.08,0.29,0.02,0.01,0.16,0.43,0.33,0.47,0.49,0.8,183,92,1,
665,Kyle O'Quinn,0.1,0.24,0.17,0.13,0.01,0.05,0.16,0.5,0.12,0.52,0.51,0.73,208,113,3,
666,Kyle Singler,0.04,0.1,0.07,0.05,0.01,0.01,0.11,0.4,0.34,0.44,0.48,0.76,203,103,5,
667,Kyle Weaver,0.02,0.12,0.07,0.13,0.02,0.02,0.17,0.39,0.38,0.41,0.47,0.81,198,91,5,
668,Kyle Wiltjer,0.1,0.15,0.12,0.06,0.03,0.02,0.25,0.29,0.31,0,0.43,0.5,208,108,0,
669,Kyrie Irving,0.02,0.09,0.06,0.3,0.02,0.01,0.13,0.46,0.38,0.49,0.51,0.87,190,87,1,
670,Kyrylo Fesenko,0.13,0.24,0.19,0.06,0.02,0.04,0.16,0.47,0,0.47,0.47,0.46,216,130,3,
671,Lamar Odom,0.08,0.23,0.15,0.14,0.01,0.02,0.14,0.46,0.29,0.5,0.49,0.63,208,99,2,
672,Lamar Patterson,0.02,0.14,0.08,0.17,0.01,0,0.2,0.28,0.21,0.37,0.33,0.7,196,102,0,
673,LaMarcus Aldridge,0.09,0.19,0.14,0.1,0.01,0.02,0.08,0.49,0.22,0.49,0.49,0.81,211,117,2,
675,Lance Stephenson,0.02,0.15,0.09,0.21,0.01,0.01,0.18,0.44,0.26,0.48,0.47,0.66,196,104,5,
676,Lance Thomas,0.06,0.12,0.09,0.06,0.01,0,0.12,0.4,0.25,0.4,0.42,0.74,203,106,0,
677,Landry Fields,0.05,0.15,0.1,0.1,0.02,0.01,0.14,0.46,0.26,0.5,0.48,0.69,201,95,4,
678,Langston Galloway,0.02,0.11,0.06,0.13,0.02,0,0.09,0.39,0.39,0.39,0.48,0.81,188,90,1,
679,Larry Drew,0.01,0.07,0.04,0.34,0.01,0,0.3,0.35,0.15,0.5,0.38,0.67,185,77,6,
680,Larry Hughes,0.02,0.11,0.06,0.15,0.02,0.01,0.14,0.36,0.33,0.38,0.41,0.78,196,83,1,
681,Larry Nance,0.09,0.19,0.14,0.08,0.02,0.02,0.12,0.53,0.19,0.55,0.53,0.71,208,92,4,
682,Larry Owens,0.01,0.14,0.07,0.08,0.02,0.02,0.1,0.45,0.42,0.48,0.54,0.52,201,95,4,
683,Larry Sanders,0.13,0.18,0.16,0.05,0.02,0.07,0.16,0.44,0,0.44,0.44,0.6,211,106,3,
684,Lavoy Allen,0.12,0.19,0.15,0.09,0.01,0.03,0.12,0.47,0.08,0.47,0.47,0.68,206,117,3,
685,Lazar Hayward,0.03,0.13,0.08,0.1,0.02,0.01,0.09,0.3,0.19,0.37,0.34,0.79,198,102,0,
686,Leandro Barbosa,0.02,0.08,0.05,0.14,0.02,0.01,0.11,0.44,0.36,0.48,0.5,0.82,190,87,1,
687,LeBron James,0.04,0.19,0.12,0.37,0.02,0.02,0.13,0.52,0.35,0.57,0.56,0.74,203,113,4,
688,Leon Powe,0.11,0.17,0.14,0.03,0.01,0.01,0.1,0.5,0,0.51,0.5,0.6,203,108,3,
689,Lester Hudson,0.03,0.1,0.07,0.18,0.03,0.01,0.18,0.36,0.34,0.38,0.43,0.77,190,86,6,
690,Linas Kleiza,0.05,0.15,0.1,0.07,0.01,0.01,0.11,0.42,0.32,0.48,0.49,0.76,203,111,5,
691,Lindsey Hunter,0.01,0.07,0.04,0.18,0.03,0,0.15,0.28,0.23,0.32,0.34,0.79,188,77,6,
692,Linton Johnson,0.06,0.11,0.09,0.08,0,0,0.19,0.42,0.37,0.43,0.45,1,203,92,5,
695,Lorenzo Brown,0.02,0.12,0.07,0.27,0.03,0.01,0.2,0.35,0.15,0.44,0.37,0.69,196,85,6,
696,Lou Amundson,0.15,0.16,0.16,0.05,0.01,0.03,0.16,0.41,0,0.41,0.41,0.41,206,99,3,
697,Lou Williams,0.02,0.09,0.05,0.2,0.02,0.01,0.11,0.42,0.35,0.46,0.48,0.84,206,90,5,
698,Luc Mbah,0.07,0.13,0.1,0.06,0.02,0.01,0.13,0.46,0.25,0.48,0.48,0.65,201,99,4,
699,Lucas Nogueira,0.09,0.25,0.17,0.06,0.03,0.04,0.18,0.52,0.29,0.53,0.52,0.56,213,109,3,
700,Luigi Datome,0.04,0.16,0.1,0.11,0.01,0.01,0.1,0.44,0.34,0.5,0.51,0.93,203,97,5,
701,Luis Montero,0,0.1,0.05,0.04,0,0,0.16,0.26,0.11,0.4,0.29,0.75,201,83,0,
702,Luis Scola,0.08,0.21,0.15,0.11,0.01,0.01,0.12,0.49,0.15,0.5,0.5,0.73,206,108,2,
703,Luke Babbitt,0.03,0.17,0.1,0.07,0.01,0.01,0.1,0.39,0.38,0.39,0.5,0.7,206,102,5,
704,Luke Harangody,0.08,0.18,0.13,0.07,0.01,0.02,0.06,0.38,0.23,0.44,0.41,0.72,203,111,2,
705,Luke Jackson,0.04,0.14,0.09,0.13,0.02,0,0.09,0.33,0.37,0.3,0.39,0.7,206,108,0,
706,Luke Ridnour,0.02,0.08,0.05,0.26,0.02,0.01,0.15,0.42,0.34,0.45,0.47,0.8,188,79,1,
707,Luke Walton,0.05,0.12,0.09,0.19,0.01,0.01,0.21,0.39,0.3,0.42,0.43,0.63,203,106,0,
709,Luol Deng,0.05,0.14,0.1,0.12,0.01,0.01,0.1,0.44,0.34,0.47,0.48,0.77,206,99,5,
710,Luther Head,0.02,0.1,0.06,0.17,0.02,0.01,0.14,0.4,0.37,0.43,0.48,0.79,190,83,1,
711,Maalik Wayns,0,0.09,0.05,0.25,0.05,0,0.09,0.37,0.25,0.41,0.41,0.92,188,90,6,
712,Maceo Baston,0.11,0.18,0.14,0.05,0.01,0.03,0.15,0.61,0,0.62,0.61,0.67,206,97,3,
713,Malachi Richardson,0.02,0.12,0.07,0.09,0.01,0.01,0.1,0.41,0.29,0.5,0.47,0.79,198,92,5,
714,Malcolm Brogdon,0.03,0.1,0.06,0.24,0.02,0.01,0.14,0.46,0.4,0.48,0.52,0.87,196,97,1,
715,Malcolm Delaney,0.01,0.1,0.06,0.23,0.02,0,0.18,0.37,0.24,0.43,0.41,0.81,190,86,6,
716,Malcolm Lee,0.03,0.06,0.05,0.1,0.01,0.01,0.1,0.26,0.27,0.28,0.28,0.71,196,90,0,
717,Malcolm Thomas,0.09,0.26,0.18,0.07,0.01,0.04,0.22,0.34,0.17,0.37,0.35,0.44,206,102,3,
718,Malik Allen,0.08,0.13,0.11,0.06,0.01,0.02,0.12,0.44,0.29,0.44,0.44,0.78,208,115,2,
719,Malik Beasley,0.03,0.08,0.06,0.1,0.02,0,0.09,0.45,0.32,0.53,0.51,0.8,196,88,5,
720,Malik Hairston,0.07,0.13,0.1,0.11,0.01,0.03,0.15,0.51,0.09,0.54,0.51,0.43,198,99,4,
721,Malik Rose,0.05,0.19,0.12,0.11,0.01,0.01,0.19,0.34,0.07,0.36,0.34,0.76,201,113,0,
722,Manny Harris,0.06,0.18,0.12,0.12,0.01,0.01,0.13,0.34,0.26,0.36,0.38,0.7,196,83,0,
723,Manu Ginobili,0.03,0.13,0.08,0.27,0.03,0.01,0.16,0.45,0.37,0.5,0.53,0.83,198,92,1,
724,Marc Gasol,0.06,0.2,0.13,0.16,0.01,0.04,0.13,0.5,0.22,0.51,0.51,0.78,216,115,2,
725,Marcelo Huertas,0.02,0.1,0.06,0.32,0.02,0.01,0.22,0.4,0.24,0.45,0.43,0.73,190,90,6,
726,Marcin Gortat,0.11,0.25,0.18,0.06,0.01,0.04,0.12,0.55,0.25,0.55,0.55,0.67,211,108,3,
727,Marco Belinelli,0.01,0.09,0.05,0.11,0.01,0,0.11,0.42,0.38,0.45,0.5,0.82,196,95,5,
728,Marcus Banks,0.01,0.08,0.05,0.19,0.02,0.01,0.18,0.37,0.28,0.45,0.43,0.69,188,90,1,
729,Marcus Camby,0.12,0.32,0.22,0.11,0.02,0.05,0.15,0.45,0.25,0.45,0.45,0.57,211,99,3,
731,Marcus Georges-Hunt,0.02,0.19,0.1,0.08,0.01,0,0.15,0.29,0.5,0.2,0.36,0.9,196,97,0,
732,Marcus Haislip,0.11,0.16,0.13,0,0,0.03,0.12,0.48,0.6,0.44,0.55,0.4,208,104,2,
733,Marcus Landry,0.03,0.1,0.07,0,0,0.01,0.08,0.25,0.22,0.47,0.33,0.6,201,104,0,
734,Marcus Morris,0.05,0.14,0.09,0.08,0.01,0.01,0.1,0.41,0.33,0.46,0.47,0.66,188,88,5,
735,Marcus Smart,0.04,0.11,0.07,0.18,0.03,0.01,0.14,0.36,0.29,0.42,0.43,0.75,193,99,6,
736,Marcus Thornton,0.04,0.11,0.07,0.1,0.02,0,0.09,0.41,0.34,0.46,0.48,0.82,193,92,5,
737,Marcus Vinicius,0.02,0.12,0.07,0.04,0.01,0.01,0.11,0.45,0.42,0.5,0.58,0.46,206,97,5,
738,Marcus Williams,0.04,0.12,0.08,0.17,0.01,0.06,0.08,0.36,0.34,0.36,0.39,0.6,185,89,0,
739,Mardy Collins,0.03,0.1,0.07,0.19,0.02,0.01,0.19,0.38,0.27,0.4,0.4,0.59,198,99,6,
740,Mario Chalmers,0.02,0.1,0.06,0.22,0.03,0.01,0.18,0.41,0.32,0.47,0.48,0.81,188,86,1,
741,Mario Hezonja,0.02,0.13,0.08,0.1,0.01,0.01,0.16,0.39,0.32,0.45,0.47,0.85,203,97,5,
742,Mario West,0.08,0.12,0.1,0.1,0.03,0.01,0.16,0.46,0.31,0.48,0.47,0.58,208,104,4,
