Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight
Kendall Marshall,0.01,0.08,0.04,0.33,0.02,0,0.26,0.4,0.36,0.43,0.48,0.67,193,90
Kendrick Perkins,0.09,0.22,0.16,0.06,0.01,0.03,0.26,0.51,0,0.51,0.51,0.56,208,122
Kenneth Faried,0.14,0.23,0.19,0.07,0.02,0.03,0.12,0.55,0.16,0.55,0.55,0.65,203,103
Kenny Thomas,0.09,0.19,0.14,0.05,0.03,0.01,0.25,0.43,,0.43,0.43,0.29,201,118
Kent Bazemore,0.02,0.13,0.07,0.13,0.02,0.02,0.16,0.41,0.33,0.46,0.48,0.65,196,91
Kentavious Caldwell-Pope,0.02,0.09,0.05,0.08,0.02,0.01,0.08,0.4,0.33,0.46,0.48,0.78,196,92
Kenyon Martin,0.07,0.18,0.12,0.08,0.02,0.03,0.12,0.5,0.21,0.5,0.5,0.59,206,106
Kevin Durant,0.02,0.19,0.11,0.19,0.02,0.02,0.12,0.49,0.38,0.53,0.54,0.88,206,108
Kevin Garnett,0.05,0.28,0.17,0.15,0.02,0.02,0.11,0.5,0.13,0.51,0.5,0.78,211,108
Kevin Jones,0.13,0.15,0.14,0.05,0.01,0.01,0.07,0.4,,0.4,0.4,0.6,203,113
Kevin Love,0.11,0.3,0.2,0.12,0.01,0.01,0.11,0.44,0.32,0.47,0.49,0.81,208,113
Kevin Martin,0.02,0.1,0.06,0.11,0.01,0,0.1,0.41,0.37,0.44,0.48,0.88,206,106
Kevin Murphy,0,0.09,0.05,0.06,0.01,0,0.1,0.25,0.2,0.26,0.27,,196,83
Kevin Ollie,0.02,0.08,0.05,0.17,0.02,0,0.11,0.41,0,0.41,0.41,0.88,193,88
Kevin Seraphin,0.09,0.17,0.13,0.07,0.01,0.04,0.16,0.49,0,0.49,0.49,0.73,206,129
Kevon Looney,0.17,0.24,0.2,0.04,0.01,0.02,0.12,0.55,0.36,0.58,0.59,0.62,206,99
Keyon Dooling,0.01,0.06,0.03,0.19,0.01,0,0.14,0.43,0.37,0.47,0.51,0.81,190,88
Khris Middleton,0.02,0.12,0.07,0.14,0.02,0.01,0.11,0.45,0.39,0.47,0.51,0.87,203,106
Kim English,0.02,0.08,0.05,0.1,0.02,0.01,0.13,0.38,0.28,0.45,0.44,0.72,198,90
Kirk Hinrich,0.01,0.1,0.05,0.21,0.02,0.01,0.16,0.39,0.36,0.41,0.47,0.8,193,86
Kirk Snyder,0.05,0.13,0.09,0.14,0.01,0.01,0.16,0.5,0.22,0.56,0.52,0.68,198,102
Klay Thompson,0.02,0.09,0.06,0.11,0.01,0.01,0.1,0.45,0.42,0.48,0.54,0.85,201,97
Kobe Bryant,0.03,0.13,0.08,0.26,0.02,0.01,0.13,0.43,0.31,0.47,0.47,0.84,198,96
Kosta Koufos,0.13,0.21,0.17,0.04,0.01,0.04,0.13,0.51,0,0.51,0.51,0.6,213,120
Kosta Perovic,0.16,0.21,0.18,0.03,0,0.04,0.07,0.3,,0.3,0.3,0.67,218,108
Kostas Papanikolaou,0.04,0.12,0.08,0.12,0.02,0.01,0.22,0.36,0.3,0.42,0.43,0.68,203,102
Kris Dunn,0.02,0.13,0.07,0.19,0.03,0.02,0.21,0.38,0.29,0.4,0.41,0.61,193,95
Kris Humphries,0.11,0.24,0.17,0.06,0.01,0.02,0.11,0.44,0.13,0.46,0.46,0.74,206,106
Kris Joseph,0.02,0.13,0.08,0.03,0.03,0,0.08,0.11,0,0.13,0.11,0.63,201,95
Kristaps Porzingis,0.06,0.19,0.13,0.08,0.01,0.05,0.1,0.44,0.35,0.47,0.49,0.81,221,108
Kurt Thomas,0.08,0.23,0.16,0.07,0.02,0.03,0.13,0.49,0.4,0.49,0.49,0.67,206,104
Kwame Brown,0.09,0.22,0.16,0.06,0.01,0.02,0.19,0.51,0,0.51,0.51,0.43,211,122
Kyle Anderson,0.03,0.2,0.11,0.12,0.02,0.02,0.13,0.42,0.32,0.44,0.44,0.73,206,104
Kyle Korver,0.01,0.11,0.06,0.11,0.01,0.01,0.12,0.45,0.43,0.48,0.58,0.88,201,96
Kyle Lowry,0.03,0.12,0.08,0.29,0.02,0.01,0.16,0.43,0.33,0.47,0.49,0.8,183,92
Kyle O'Quinn,0.1,0.24,0.17,0.13,0.01,0.05,0.16,0.5,0.12,0.52,0.51,0.73,208,113
Kyle Singler,0.04,0.1,0.07,0.05,0.01,0.01,0.11,0.4,0.34,0.44,0.48,0.76,203,103
Kyle Weaver,0.02,0.12,0.07,0.13,0.02,0.02,0.17,0.39,0.38,0.41,0.47,0.81,198,91
Kyle Wiltjer,0.1,0.15,0.12,0.06,0.03,0.02,0.25,0.29,0.31,0,0.43,0.5,208,108
Kyrie Irving,0.02,0.09,0.06,0.3,0.02,0.01,0.13,0.46,0.38,0.49,0.51,0.87,190,87
Kyrylo Fesenko,0.13,0.24,0.19,0.06,0.02,0.04,0.16,0.47,0,0.47,0.47,0.46,216,130
Lamar Odom,0.08,0.23,0.15,0.14,0.01,0.02,0.14,0.46,0.29,0.5,0.49,0.63,208,99
Lamar Patterson,0.02,0.14,0.08,0.17,0.01,0,0.2,0.28,0.21,0.37,0.33,0.7,196,102
LaMarcus Aldridge,0.09,0.19,0.14,0.1,0.01,0.02,0.08,0.49,0.22,0.49,0.49,0.81,211,117
Lance Allred,0,0.12,0.06,0,0,0,0,0.25,,0.25,0.25,0.5,211,113
Lance Stephenson,0.02,0.15,0.09,0.21,0.01,0.01,0.18,0.44,0.26,0.48,0.47,0.66,196,104
Lance Thomas,0.06,0.12,0.09,0.06,0.01,0,0.12,0.4,0.25,0.4,0.42,0.74,203,106
Landry Fields,0.05,0.15,0.1,0.1,0.02,0.01,0.14,0.46,0.26,0.5,0.48,0.69,201,95
Langston Galloway,0.02,0.11,0.06,0.13,0.02,0,0.09,0.39,0.39,0.39,0.48,0.81,188,90
Larry Drew,0.01,0.07,0.04,0.34,0.01,0,0.3,0.35,0.15,0.5,0.38,0.67,185,77
Larry Hughes,0.02,0.11,0.06,0.15,0.02,0.01,0.14,0.36,0.33,0.38,0.41,0.78,196,83
Larry Nance,0.09,0.19,0.14,0.08,0.02,0.02,0.12,0.53,0.19,0.55,0.53,0.71,208,92
Larry Owens,0.01,0.14,0.07,0.08,0.02,0.02,0.1,0.45,0.42,0.48,0.54,0.52,201,95
Larry Sanders,0.13,0.18,0.16,0.05,0.02,0.07,0.16,0.44,0,0.44,0.44,0.6,211,106
Lavoy Allen,0.12,0.19,0.15,0.09,0.01,0.03,0.12,0.47,0.08,0.47,0.47,0.68,206,117
